Fecha,Empresa,Precio_cierre
2012-01-04,NATURGY,6.129789352416992
2012-01-05,NATURGY,6.029489517211914
2012-01-06,NATURGY,6.004414081573486
2012-01-09,NATURGY,6.019883632659912
2012-01-10,NATURGY,6.071456432342529
2012-01-11,NATURGY,5.989410877227783
2012-01-12,NATURGY,6.010509490966797
2012-01-13,NATURGY,6.001130104064941
2012-01-16,NATURGY,6.06208086013794
2012-01-17,NATURGY,6.167568206787109
2012-01-18,NATURGY,6.010509490966797
2012-01-19,NATURGY,6.022229671478272
2012-01-20,NATURGY,5.977689743041992
2012-01-23,NATURGY,5.825318336486816
2012-01-24,NATURGY,5.935492515563965
2012-01-25,NATURGY,5.879232406616211
2012-01-26,NATURGY,5.879232406616211
2012-01-27,NATURGY,5.890954494476318
2012-01-30,NATURGY,5.79249906539917
2012-01-31,NATURGY,5.860479354858398
2012-02-01,NATURGY,5.949558734893799
2012-02-02,NATURGY,6.015196800231934
2012-02-03,NATURGY,6.055047988891602
2012-02-06,NATURGY,6.001130104064941
2012-02-07,NATURGY,6.0058207511901855
2012-02-08,NATURGY,6.087867259979248
2012-02-09,NATURGY,6.015196800231934
2012-02-10,NATURGY,6.010509490966797
2012-02-13,NATURGY,6.076144695281982
2012-02-14,NATURGY,6.141783237457275
2012-02-15,NATURGY,6.123027801513672
2012-02-16,NATURGY,6.064422607421875
2012-02-17,NATURGY,6.057389736175537
2012-02-20,NATURGY,6.118340015411377
2012-02-21,NATURGY,6.064422607421875
2012-02-22,NATURGY,6.064422607421875
2012-02-23,NATURGY,5.926116943359375
2012-02-24,NATURGY,5.92377233505249
2012-02-27,NATURGY,5.949558734893799
2012-02-28,NATURGY,5.970656871795654
2012-02-29,NATURGY,5.954246520996094
2012-03-01,NATURGY,6.010509490966797
2012-03-02,NATURGY,6.057389736175537
2012-03-05,NATURGY,6.052701950073242
2012-03-06,NATURGY,5.937838554382324
2012-03-07,NATURGY,5.778432369232178
2012-03-08,NATURGY,5.855791091918945
2012-03-09,NATURGY,5.834692478179932
2012-03-12,NATURGY,5.773743629455566
2012-03-13,NATURGY,5.888609409332275
2012-03-14,NATURGY,5.865168571472168
2012-03-15,NATURGY,5.8745436668396
2012-03-16,NATURGY,5.905020236968994
2012-03-19,NATURGY,5.958935260772705
2012-03-20,NATURGY,5.933149337768555
2012-03-21,NATURGY,5.998787879943848
2012-03-22,NATURGY,5.944869995117188
2012-03-23,NATURGY,5.797187328338623
2012-03-26,NATURGY,5.822971820831299
2012-03-27,NATURGY,5.76202392578125
2012-03-28,NATURGY,5.593242645263672
2012-03-29,NATURGY,5.539324760437012
2012-03-30,NATURGY,5.616683006286621
2012-04-02,NATURGY,5.621372699737549
2012-04-03,NATURGY,5.4900994300842285
2012-04-04,NATURGY,5.363509654998779
2012-04-05,NATURGY,5.333034038543701
2012-04-10,NATURGY,5.185352802276611
2012-04-11,NATURGY,5.260367393493652
2012-04-12,NATURGY,5.269742965698242
2012-04-13,NATURGY,5.077518939971924
2012-04-16,NATURGY,5.063454627990723
2012-04-17,NATURGY,5.089239597320557
2012-04-18,NATURGY,4.885295867919922
2012-04-19,NATURGY,4.833724021911621
2012-04-20,NATURGY,4.964998245239258
2012-04-23,NATURGY,4.80793571472168
2012-04-24,NATURGY,4.983752727508545
2012-04-25,NATURGY,5.016571044921875
2012-04-26,NATURGY,4.983752727508545
2012-04-27,NATURGY,5.115026473999023
2012-04-30,NATURGY,4.932180404663086
2012-05-02,NATURGY,4.77511739730835
2012-05-03,NATURGY,4.791529178619385
2012-05-04,NATURGY,4.803247928619385
2012-05-07,NATURGY,4.838411331176758
2012-05-08,NATURGY,4.840755462646484
2012-05-09,NATURGY,4.684164047241211
2012-05-10,NATURGY,4.8712310791015625
2012-05-11,NATURGY,4.8431010246276855
2012-05-14,NATURGY,4.704793930053711
2012-05-15,NATURGY,4.588051795959473
2012-05-16,NATURGY,4.5299153327941895
2012-05-17,NATURGY,4.504129886627197
2012-05-18,NATURGY,4.629777908325195
2012-05-21,NATURGY,4.580551624298096
2012-05-22,NATURGY,4.695416450500488
2012-05-23,NATURGY,4.519601821899414
2012-05-24,NATURGY,4.552889823913574
2012-05-25,NATURGY,4.576800346374512
2012-05-28,NATURGY,4.477875709533691
2012-05-29,NATURGY,4.3273773193359375
2012-05-30,NATURGY,4.421204090118408
2012-05-31,NATURGY,4.334785461425781
2012-06-01,NATURGY,4.286884307861328
2012-06-04,NATURGY,4.424661159515381
2012-06-05,NATURGY,4.387131214141846
2012-06-06,NATURGY,4.409847259521484
